time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-12-10T00:56:03.100Z,40.3983345031738,-125.103996276855,0.889999985694885,3.29,ml,27,269,,0.33,nc,nc75100486,2024-12-10T00:58:06.102Z,"70 km WNW of Petrolia, CA",earthquake,4.73,8.42000008,0.242,4,automatic,nc,nc
2024-12-09T22:52:44.240Z,40.3293342590332,-125.026664733887,0.209999993443489,3.09,ml,25,283,,0.37,nc,nc75100351,2024-12-10T05:09:54.040Z,"63 km WNW of Petrolia, CA",earthquake,5.92,11.0100002,0.5,5,automatic,nc,nc
2024-12-09T21:35:30.120Z,40.3004989624023,-124.397003173828,15.5600004196167,1.57,md,10,279,0.04333,0.02,nc,nc75100306,2024-12-09T21:37:07.998Z,"10 km W of Petrolia, CA",earthquake,2.35,1.86000001,0.19,6,automatic,nc,nc
2024-12-09T21:25:30.410Z,40.2811660766602,-125.10033416748,0.899999976158142,2.94,md,18,290,0.5797,0.15,nc,nc75100296,2024-12-10T03:46:11.040Z,"69 km W of Petrolia, CA",earthquake,4.49,7.46999979,0.08,12,automatic,nc,nc
2024-12-09T20:25:30.310Z,40.2775001525879,-124.608833312988,2.39000010490417,3.02,ml,17,280,0.204,0.28,nc,nc75100246,2024-12-09T20:27:33.318Z,"28 km W of Petrolia, CA",earthquake,7.05,8.35000038,0.182,5,automatic,nc,nc
2024-12-09T20:13:35.930Z,40.3675003051758,-124.979164123535,0.100000001490116,2.61,md,26,264,0.493,0.32,nc,nc75100241,2024-12-10T03:57:22.752Z,"59 km WNW of Petrolia, CA",earthquake,3.47,7.51000023,0.06,7,automatic,nc,nc
2024-12-09T19:24:24.560Z,40.3605003356934,-124.638999938965,16.3899993896484,3.16,md,26,272,0.2378,0.35,nc,nc75100226,2024-12-09T19:29:28.040Z,"30 km WNW of Petrolia, CA",earthquake,5.75,2,0.11,22,automatic,nc,nc
2024-12-09T18:31:04.850Z,40.2813339233398,-123.84716796875,28.8199996948242,2.34,md,28,51,0.03606,0.1,nc,nc75100216,2024-12-09T18:42:43.889Z,"18 km N of Redway, CA",earthquake,0.36,0.839999974,0.18,21,automatic,nc,nc
2024-12-09T16:05:35.220Z,40.2755012512207,-124.557830810547,18.7900009155273,2.67,md,11,300,0.1652,0.08,nc,nc75100156,2024-12-09T17:07:14.281Z,"24 km W of Petrolia, CA",earthquake,3.06,0.74000001,0.13,9,automatic,nc,nc
2024-12-09T13:05:39.230Z,40.3151664733887,-124.492668151855,11.1599998474121,2.09,md,10,300,0.1178,0.07,nc,nc75100096,2024-12-09T14:47:18.309Z,"18 km W of Petrolia, CA",earthquake,2.13,0.579999983,0.11,7,automatic,nc,nc
2024-12-09T12:54:04.140Z,40.3418350219727,-124.519500732422,13.8900003433228,2.42,md,14,312,0.1454,0.08,nc,nc75100091,2024-12-09T14:32:17.210Z,"20 km WNW of Petrolia, CA",earthquake,3.29,0.839999974,0.15,11,automatic,nc,nc
